ticket_id,created_date,priority,ticket_type,category,assigned_team,status,user_satisfaction,resolution_time_hours,resolved_date,sla_breached
TCKT-00460,2025-01-16 06:00:00,Medium,Incident,CRM,L2,Resolved,5,20,2025-01-17 02:00:00,False
TCKT-00603,2025-01-16 12:00:00,Medium,Incident,CRM,L2,Resolved,5,33,2025-01-17 21:00:00,False
TCKT-00978,2025-01-16 12:00:00,Low,Request,Access Management,L1,Resolved,1,10,2025-01-16 22:00:00,False
TCKT-00084,2025-01-17 00:00:00,High,Incident,Access Management,L1,In Progress,5,28,,False
TCKT-00761,2025-01-17 12:00:00,Medium,Incident,Reporting,L1,Resolved,2,23,2025-01-18 11:00:00,False
TCKT-00912,2025-01-18 00:00:00,Medium,Incident,B2B App,L1,Closed,2,10,2025-01-18 10:00:00,False
TCKT-01142,2025-01-18 00:00:00,Medium,Incident,Reporting,L1,In Progress,5,15,,False
TCKT-00680,2025-01-18 00:00:00,Medium,Request,CRM,L2,Closed,5,46,2025-01-19 22:00:00,False
TCKT-01150,2025-01-19 00:00:00,Low,Request,B2B App,L2,Closed,5,12,2025-01-19 12:00:00,False
TCKT-00962,2025-01-19 12:00:00,Medium,Request,Access Management,L1,Closed,4,36,2025-01-21 00:00:00,False
TCKT-01097,2025-01-19 12:00:00,Medium,Incident,B2B App,L1,Resolved,1,37,2025-01-21 01:00:00,False
TCKT-00654,2025-01-19 12:00:00,Medium,Incident,B2B App,L3,Resolved,3,10,2025-01-19 22:00:00,False
TCKT-00795,2025-01-19 12:00:00,Low,Incident,CRM,L3,Resolved,2,15,2025-01-20 03:00:00,False
TCKT-00469,2025-01-19 18:00:00,Medium,Incident,B2B App,L1,Resolved,1,8,2025-01-20 02:00:00,False
TCKT-00853,2025-01-20 06:00:00,Medium,Request,CRM,L1,Resolved,5,14,2025-01-20 20:00:00,False
TCKT-00737,2025-01-20 06:00:00,Medium,Request,Reporting,L2,In Progress,3,29,,False
TCKT-00549,2025-01-20 18:00:00,Low,Incident,B2B App,L1,Closed,1,10,2025-01-21 04:00:00,False
TCKT-00672,2025-01-21 00:00:00,Critical,Incident,B2B App,L2,In Progress,4,80,,True
TCKT-01059,2025-01-21 06:00:00,Medium,Incident,Sales Tool,L2,Open,4,40,,False
TCKT-00621,2025-01-21 12:00:00,High,Incident,Sales Tool,L2,Closed,4,37,2025-01-23 01:00:00,False
TCKT-00755,2025-01-22 06:00:00,Critical,Incident,Access Management,L1,Open,3,47,,False
TCKT-01024,2025-01-22 12:00:00,Medium,Incident,CRM,L2,Resolved,5,42,2025-01-24 06:00:00,False
TCKT-00009,2025-01-22 18:00:00,Medium,Incident,B2B App,L1,Open,1,20,,False
TCKT-00858,2025-01-23 00:00:00,Low,Request,B2B App,L1,Resolved,3,7,2025-01-23 07:00:00,False
TCKT-00818,2025-01-23 06:00:00,Critical,Request,B2B App,L1,Resolved,1,61,2025-01-25 19:00:00,True
TCKT-00431,2025-01-23 06:00:00,Medium,Request,CRM,L3,Resolved,3,33,2025-01-24 15:00:00,False
TCKT-00569,2025-01-23 06:00:00,Medium,Incident,Access Management,L1,In Progress,2,36,,False
TCKT-00521,2025-01-23 12:00:00,Medium,Incident,Access Management,L1,Resolved,5,16,2025-01-24 04:00:00,False
TCKT-00049,2025-01-23 18:00:00,Medium,Incident,Reporting,L1,Resolved,4,10,2025-01-24 04:00:00,False
TCKT-00695,2025-01-24 00:00:00,Low,Request,Access Management,L3,Resolved,3,13,2025-01-24 13:00:00,False
TCKT-00389,2025-01-24 06:00:00,Critical,Incident,B2B App,L2,In Progress,1,40,,False
TCKT-00908,2025-01-24 12:00:00,Medium,Incident,Reporting,L2,Resolved,1,31,2025-01-25 19:00:00,False
TCKT-00634,2025-01-24 12:00:00,Medium,Request,Reporting,L1,Open,1,32,,False
TCKT-00689,2025-01-24 12:00:00,Critical,Request,B2B App,L2,Resolved,2,94,2025-01-28 10:00:00,True
TCKT-00453,2025-01-24 18:00:00,Medium,Incident,B2B App,L2,Resolved,4,40,2025-01-26 10:00:00,False
TCKT-00128,2025-01-24 18:00:00,Medium,Request,Sales Tool,L2,In Progress,3,47,,False
TCKT-01037,2025-01-24 18:00:00,Medium,Incident,CRM,L2,In Progress,2,34,,False
TCKT-01136,2025-01-25 06:00:00,Medium,Request,Reporting,L3,Closed,4,8,2025-01-25 14:00:00,False
TCKT-00660,2025-01-25 06:00:00,Critical,Incident,B2B App,L2,Closed,1,75,2025-01-28 09:00:00,True
TCKT-00230,2025-01-25 12:00:00,Low,Incident,CRM,L3,Resolved,1,6,2025-01-25 18:00:00,False
TCKT-00274,2025-01-25 12:00:00,Low,Request,Access Management,L3,Closed,4,10,2025-01-25 22:00:00,False
TCKT-00108,2025-01-25 12:00:00,Medium,Incident,Reporting,L2,Resolved,2,29,2025-01-26 17:00:00,False
TCKT-01162,2025-01-26 06:00:00,High,Incident,CRM,L1,In Progress,3,26,,False
TCKT-00656,2025-01-26 12:00:00,Medium,Incident,Access Management,L1,Closed,1,44,2025-01-28 08:00:00,False
TCKT-00226,2025-01-26 18:00:00,Low,Incident,CRM,L3,Closed,2,23,2025-01-27 17:00:00,False
TCKT-00873,2025-01-26 18:00:00,High,Incident,B2B App,L2,Resolved,2,18,2025-01-27 12:00:00,False
TCKT-00607,2025-01-27 00:00:00,High,Incident,Reporting,L2,Resolved,1,36,2025-01-28 12:00:00,False
TCKT-00721,2025-01-27 12:00:00,Low,Incident,Sales Tool,L1,Open,1,8,,False
TCKT-01160,2025-01-27 18:00:00,High,Incident,B2B App,L3,Resolved,3,38,2025-01-29 08:00:00,False
TCKT-00487,2025-01-28 00:00:00,Low,Incident,Access Management,L1,Closed,1,7,2025-01-28 07:00:00,False
TCKT-00763,2025-01-28 00:00:00,Medium,Request,B2B App,L1,Resolved,4,28,2025-01-29 04:00:00,False
TCKT-00765,2025-01-28 12:00:00,High,Request,Access Management,L1,Open,4,51,,False
TCKT-00686,2025-01-28 12:00:00,High,Request,B2B App,L2,Open,4,18,,False
TCKT-00767,2025-01-28 12:00:00,Medium,Incident,Sales Tool,L2,In Progress,4,13,,False
TCKT-00814,2025-01-29 00:00:00,Medium,Incident,CRM,L2,Closed,1,28,2025-01-30 04:00:00,False
TCKT-00161,2025-01-29 00:00:00,Low,Incident,Sales Tool,L1,Resolved,4,18,2025-01-29 18:00:00,False
TCKT-01016,2025-01-29 06:00:00,Medium,Incident,Sales Tool,L2,Resolved,3,14,2025-01-29 20:00:00,False
TCKT-00437,2025-01-29 12:00:00,Medium,Request,Access Management,L2,Resolved,2,22,2025-01-30 10:00:00,False
TCKT-00363,2025-01-30 00:00:00,Medium,Request,B2B App,L3,Resolved,1,27,2025-01-31 03:00:00,False
TCKT-00957,2025-01-30 00:00:00,Medium,Incident,Reporting,L3,Resolved,3,23,2025-01-30 23:00:00,False
TCKT-00640,2025-01-30 06:00:00,Low,Incident,Sales Tool,L1,In Progress,2,24,,False
TCKT-00798,2025-01-30 06:00:00,Medium,Incident,CRM,L2,In Progress,2,16,,False
TCKT-00359,2025-01-30 18:00:00,Medium,Incident,Access Management,L1,Closed,4,17,2025-01-31 11:00:00,False
TCKT-00006,2025-01-31 06:00:00,Low,Request,CRM,L3,Resolved,2,18,2025-02-01 00:00:00,False
TCKT-00173,2025-01-31 12:00:00,Low,Incident,Access Management,L1,In Progress,5,6,,False
TCKT-00684,2025-02-01 06:00:00,Low,Incident,B2B App,L1,Closed,1,19,2025-02-02 01:00:00,False
TCKT-00756,2025-02-01 06:00:00,Medium,Request,Access Management,L3,Closed,4,15,2025-02-01 21:00:00,False
TCKT-00936,2025-02-01 12:00:00,High,Incident,Reporting,L2,Closed,4,44,2025-02-03 08:00:00,False
TCKT-01081,2025-02-01 18:00:00,Critical,Incident,CRM,L1,Resolved,1,38,2025-02-03 08:00:00,False
TCKT-01100,2025-02-01 18:00:00,Medium,Request,Reporting,L1,In Progress,5,10,,False
TCKT-00290,2025-02-01 18:00:00,Medium,Incident,Reporting,L1,In Progress,2,26,,False
TCKT-00907,2025-02-02 06:00:00,Medium,Incident,B2B App,L3,Resolved,2,39,2025-02-03 21:00:00,False
TCKT-01123,2025-02-02 06:00:00,High,Incident,B2B App,L1,In Progress,1,26,,False
TCKT-01159,2025-02-02 12:00:00,Critical,Request,B2B App,L2,Open,2,49,,True
TCKT-00012,2025-02-02 12:00:00,Low,Incident,Sales Tool,L1,Resolved,2,21,2025-02-03 09:00:00,False
TCKT-00855,2025-02-02 18:00:00,High,Request,Access Management,L2,Closed,2,35,2025-02-04 05:00:00,False
TCKT-00673,2025-02-03 00:00:00,Medium,Incident,Sales Tool,L1,In Progress,5,15,,False
TCKT-00542,2025-02-03 06:00:00,Medium,Incident,B2B App,L1,In Progress,1,23,,False
TCKT-00099,2025-02-03 12:00:00,Medium,Request,Access Management,L1,Resolved,5,27,2025-02-04 15:00:00,False
TCKT-01193,2025-02-04 00:00:00,Low,Incident,Access Management,L2,Closed,1,12,2025-02-04 12:00:00,False
TCKT-00676,2025-02-04 06:00:00,Medium,Incident,Reporting,L2,Resolved,4,19,2025-02-05 01:00:00,False
TCKT-00821,2025-02-04 12:00:00,Low,Incident,B2B App,L1,Resolved,3,17,2025-02-05 05:00:00,False
TCKT-00815,2025-02-04 18:00:00,Medium,Request,Sales Tool,L1,Resolved,5,11,2025-02-05 05:00:00,False
TCKT-00925,2025-02-05 00:00:00,Low,Incident,Access Management,L2,Closed,1,19,2025-02-05 19:00:00,False
TCKT-00866,2025-02-05 12:00:00,High,Incident,CRM,L1,Closed,1,64,2025-02-08 04:00:00,False
TCKT-00182,2025-02-05 18:00:00,Low,Request,B2B App,L1,Resolved,4,19,2025-02-06 13:00:00,False
TCKT-00203,2025-02-05 18:00:00,Medium,Request,Sales Tool,L1,Closed,4,36,2025-02-07 06:00:00,False
TCKT-00475,2025-02-05 18:00:00,Medium,Request,CRM,L1,Resolved,2,11,2025-02-06 05:00:00,False
TCKT-00869,2025-02-06 00:00:00,High,Request,B2B App,L1,Resolved,4,25,2025-02-07 01:00:00,False
TCKT-00759,2025-02-06 00:00:00,High,Request,Reporting,L1,Resolved,1,41,2025-02-07 17:00:00,False
TCKT-00599,2025-02-06 06:00:00,Medium,Request,B2B App,L1,In Progress,1,44,,False
TCKT-01056,2025-02-06 12:00:00,Medium,Request,Access Management,L2,Resolved,5,27,2025-02-07 15:00:00,False
TCKT-00191,2025-02-06 12:00:00,Medium,Incident,Sales Tool,L1,Resolved,4,16,2025-02-07 04:00:00,False
TCKT-00988,2025-02-06 18:00:00,Medium,Incident,Reporting,L2,Closed,1,24,2025-02-07 18:00:00,False
TCKT-01129,2025-02-07 00:00:00,Low,Incident,CRM,L1,Resolved,1,7,2025-02-07 07:00:00,False
TCKT-00329,2025-02-07 06:00:00,High,Request,Sales Tool,L3,Resolved,1,27,2025-02-08 09:00:00,False
TCKT-01054,2025-02-07 12:00:00,Low,Incident,Reporting,L2,Resolved,1,7,2025-02-07 19:00:00,False
TCKT-00201,2025-02-07 12:00:00,Low,Request,Reporting,L1,In Progress,5,15,,False
TCKT-00221,2025-02-07 18:00:00,Low,Incident,Access Management,L1,Resolved,4,14,2025-02-08 08:00:00,False
TCKT-00231,2025-02-08 00:00:00,Medium,Incident,Access Management,L2,Resolved,3,8,2025-02-08 08:00:00,False
TCKT-00382,2025-02-08 06:00:00,Medium,Request,Reporting,L2,In Progress,5,10,,False
TCKT-01149,2025-02-08 06:00:00,High,Request,B2B App,L2,Open,2,31,,False
TCKT-00636,2025-02-08 06:00:00,Critical,Request,Access Management,L2,Resolved,4,29,2025-02-09 11:00:00,False
TCKT-00298,2025-02-08 12:00:00,Critical,Request,Sales Tool,L1,Closed,3,30,2025-02-09 18:00:00,False
TCKT-00982,2025-02-08 18:00:00,Low,Incident,Reporting,L1,Closed,1,17,2025-02-09 11:00:00,False
TCKT-00883,2025-02-09 00:00:00,Low,Incident,CRM,L1,Resolved,2,23,2025-02-09 23:00:00,False
TCKT-00270,2025-02-09 06:00:00,Low,Incident,CRM,L1,Resolved,3,6,2025-02-09 12:00:00,False
TCKT-00415,2025-02-09 18:00:00,Low,Incident,Access Management,L1,Open,3,23,,False
TCKT-00238,2025-02-10 00:00:00,Low,Incident,Reporting,L3,In Progress,3,23,,False
TCKT-00063,2025-02-10 06:00:00,Low,Incident,Access Management,L2,In Progress,2,15,,False
TCKT-01023,2025-02-10 06:00:00,Low,Incident,CRM,L1,Resolved,1,21,2025-02-11 03:00:00,False
TCKT-01044,2025-02-11 00:00:00,High,Incident,Access Management,L3,Open,3,64,,False
TCKT-00666,2025-02-11 06:00:00,Medium,Request,B2B App,L2,Resolved,3,40,2025-02-12 22:00:00,False
TCKT-00040,2025-02-11 12:00:00,Low,Incident,Reporting,L1,Resolved,2,22,2025-02-12 10:00:00,False
TCKT-00520,2025-02-11 12:00:00,High,Incident,Reporting,L2,Resolved,1,72,2025-02-14 12:00:00,False
TCKT-01113,2025-02-11 18:00:00,High,Request,Sales Tool,L1,Open,1,20,,False
TCKT-00506,2025-02-12 06:00:00,High,Incident,Sales Tool,L1,Resolved,1,56,2025-02-14 14:00:00,False
TCKT-00828,2025-02-12 18:00:00,Critical,Request,Access Management,L1,Resolved,5,53,2025-02-14 23:00:00,True
TCKT-01161,2025-02-12 18:00:00,High,Incident,Reporting,L1,Closed,1,40,2025-02-14 10:00:00,False
TCKT-00525,2025-02-13 00:00:00,Medium,Request,Access Management,L1,Closed,3,17,2025-02-13 17:00:00,False
TCKT-00546,2025-02-13 00:00:00,High,Request,Sales Tool,L1,Resolved,3,52,2025-02-15 04:00:00,False
TCKT-00807,2025-02-13 00:00:00,High,Incident,Sales Tool,L1,Closed,3,70,2025-02-15 22:00:00,False
TCKT-00976,2025-02-14 00:00:00,Critical,Incident,CRM,L2,Resolved,1,67,2025-02-16 19:00:00,True
TCKT-00601,2025-02-14 00:00:00,Medium,Incident,Sales Tool,L1,In Progress,4,17,,False
TCKT-00466,2025-02-14 00:00:00,Low,Incident,B2B App,L2,Resolved,3,6,2025-02-14 06:00:00,False
TCKT-00279,2025-02-15 00:00:00,High,Incident,Access Management,L1,Resolved,4,35,2025-02-16 11:00:00,False
TCKT-01045,2025-02-15 06:00:00,Medium,Incident,Reporting,L3,Closed,5,42,2025-02-17 00:00:00,False
TCKT-00677,2025-02-15 18:00:00,Medium,Incident,Access Management,L1,Closed,3,38,2025-02-17 08:00:00,False
TCKT-00185,2025-02-16 12:00:00,Medium,Incident,CRM,L1,Open,1,34,,False
TCKT-01133,2025-02-16 12:00:00,High,Request,B2B App,L2,Resolved,5,12,2025-02-17 00:00:00,False
TCKT-00078,2025-02-16 18:00:00,Critical,Request,Reporting,L2,Resolved,2,25,2025-02-17 19:00:00,False
TCKT-00536,2025-02-17 06:00:00,High,Incident,B2B App,L2,In Progress,5,63,,False
TCKT-00030,2025-02-17 06:00:00,High,Incident,CRM,L2,Resolved,3,21,2025-02-18 03:00:00,False
TCKT-00145,2025-02-17 06:00:00,Critical,Request,Access Management,L1,Open,1,55,,True
TCKT-00285,2025-02-17 12:00:00,High,Request,Access Management,L1,Resolved,4,16,2025-02-18 04:00:00,False
TCKT-00448,2025-02-17 18:00:00,Medium,Request,Sales Tool,L3,Closed,2,16,2025-02-18 10:00:00,False
TCKT-00803,2025-02-18 06:00:00,Low,Incident,CRM,L1,Closed,1,22,2025-02-19 04:00:00,False
TCKT-01012,2025-02-18 06:00:00,Low,Incident,CRM,L2,Resolved,1,20,2025-02-19 02:00:00,False
TCKT-00890,2025-02-18 18:00:00,High,Request,Reporting,L2,Open,2,31,,False
TCKT-00179,2025-02-19 06:00:00,High,Incident,Access Management,L1,In Progress,3,54,,False
TCKT-00875,2025-02-19 06:00:00,Low,Request,B2B App,L1,In Progress,1,24,,False
TCKT-01148,2025-02-20 00:00:00,Low,Request,Access Management,L1,Resolved,2,13,2025-02-20 13:00:00,False
TCKT-00100,2025-02-20 00:00:00,Low,Request,Access Management,L2,In Progress,1,21,,False
TCKT-00955,2025-02-20 06:00:00,High,Incident,Access Management,L2,Resolved,5,55,2025-02-22 13:00:00,False
TCKT-00064,2025-02-20 06:00:00,Critical,Incident,Access Management,L3,Closed,2,92,2025-02-24 02:00:00,True
TCKT-00551,2025-02-20 12:00:00,Medium,Incident,B2B App,L1,Open,2,42,,False
TCKT-00172,2025-02-20 12:00:00,High,Incident,Access Management,L1,Closed,1,35,2025-02-21 23:00:00,False
TCKT-00683,2025-02-21 00:00:00,Medium,Incident,Sales Tool,L1,Resolved,4,44,2025-02-22 20:00:00,False
TCKT-00054,2025-02-21 06:00:00,High,Incident,Sales Tool,L2,Closed,3,17,2025-02-21 23:00:00,False
TCKT-00121,2025-02-21 12:00:00,Medium,Incident,Reporting,L2,In Progress,3,43,,False
TCKT-00218,2025-02-21 18:00:00,High,Incident,B2B App,L1,Resolved,5,40,2025-02-23 10:00:00,False
TCKT-00717,2025-02-23 06:00:00,Low,Request,CRM,L1,Closed,2,21,2025-02-24 03:00:00,False
TCKT-00996,2025-02-23 12:00:00,Critical,Incident,Reporting,L1,In Progress,1,44,,False
TCKT-01172,2025-02-23 18:00:00,Medium,Incident,CRM,L3,Closed,2,32,2025-02-25 02:00:00,False
TCKT-00899,2025-02-23 18:00:00,Low,Incident,B2B App,L1,Open,3,19,,False
TCKT-00515,2025-02-24 00:00:00,Low,Incident,Access Management,L1,Resolved,2,23,2025-02-24 23:00:00,False
TCKT-00076,2025-02-24 00:00:00,High,Incident,Reporting,L2,Resolved,5,42,2025-02-25 18:00:00,False
TCKT-00457,2025-02-24 00:00:00,Low,Incident,Sales Tool,L1,In Progress,4,19,,False
TCKT-00394,2025-02-24 06:00:00,Medium,Request,Sales Tool,L1,Resolved,2,40,2025-02-25 22:00:00,False
TCKT-00924,2025-02-24 06:00:00,Low,Incident,CRM,L1,Open,1,11,,False
TCKT-00164,2025-02-24 18:00:00,Low,Incident,CRM,L2,Open,2,19,,False
TCKT-00600,2025-02-25 18:00:00,Low,Request,CRM,L1,Closed,3,16,2025-02-26 10:00:00,False
TCKT-00812,2025-02-26 00:00:00,Critical,Incident,Reporting,L3,Closed,3,29,2025-02-27 05:00:00,False
TCKT-00257,2025-02-26 06:00:00,Low,Incident,Reporting,L1,Resolved,1,20,2025-02-27 02:00:00,False
TCKT-00898,2025-02-26 18:00:00,High,Request,Sales Tool,L3,Closed,4,24,2025-02-27 18:00:00,False
TCKT-00766,2025-02-26 18:00:00,Medium,Incident,Reporting,L2,In Progress,5,46,,False
TCKT-00790,2025-02-27 00:00:00,Low,Request,Reporting,L1,Closed,1,9,2025-02-27 09:00:00,False
TCKT-00253,2025-02-27 06:00:00,Medium,Request,Sales Tool,L1,Resolved,4,17,2025-02-27 23:00:00,False
TCKT-00130,2025-02-27 12:00:00,Low,Request,CRM,L1,Resolved,3,14,2025-02-28 02:00:00,False
TCKT-00095,2025-02-27 12:00:00,Critical,Request,Sales Tool,L1,In Progress,1,91,,True
TCKT-00706,2025-02-28 00:00:00,Medium,Incident,B2B App,L1,Resolved,3,23,2025-02-28 23:00:00,False
TCKT-00762,2025-02-28 00:00:00,Low,Request,Reporting,L1,Closed,5,15,2025-02-28 15:00:00,False
